year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1980,33.8,42.4,43.5,51.0,53.7,56.8,62.3,61.1,58.6,52.5,45.6,42.9,50.35,50.2552341598,50.5526122815
1981,42.9,42.6,47.2,48.5,53.7,56.7,62.1,66.3,59.5,49.2,45.8,40.0,51.2083333333,50.2552341598,50.5645074064
1982,37.5,40.5,43.0,46.0,53.3,61.6,61.6,62.9,59.5,51.2,40.6,39.2,49.7416666667,50.2552341598,50.5764025313
1983,43.0,44.9,47.4,49.1,56.5,58.4,61.5,64.0,56.5,49.6,45.8,33.6,50.8583333333,50.2552341598,50.5882976561
1984,41.2,43.3,46.9,47.7,51.8,57.5,63.0,63.2,57.9,48.5,42.9,35.0,49.9083333333,50.2552341598,50.600192781
1985,35.8,38.1,42.0,48.4,54.0,58.8,66.7,63.2,56.6,50.1,33.9,35.0,48.55,50.2552341598,50.6120879059
1986,43.6,41.1,48.0,46.8,54.3,60.9,60.1,66.4,57.7,52.5,44.0,40.2,51.3,50.2552341598,50.6239830308
1987,39.4,44.6,46.8,51.2,55.6,60.4,62.6,63.7,60.7,53.1,47.0,38.1,51.9333333333,50.2552341598,50.6358781556
1988,38.7,42.8,44.2,49.2,54.0,57.8,62.7,63.1,58.6,53.9,44.5,40.6,50.8416666667,50.2552341598,50.6477732805
1989,39.5,34.0,42.5,51.5,54.2,61.0,61.8,62.6,60.7,51.2,45.5,41.6,50.5083333333,50.2552341598,50.6596684054
1990,41.1,38.4,45.5,50.9,53.8,58.7,65.9,65.6,61.5,49.3,44.9,33.6,50.7666666667,50.2552341598,50.6715635302
1991,37.5,46.4,42.6,48.0,52.9,56.6,64.0,64.8,60.5,50.5,45.3,42.0,50.925,50.2552341598,50.6834586551
1992,42.5,45.6,48.5,51.5,57.4,62.7,64.2,64.6,57.6,52.3,44.0,37.3,52.35,50.2552341598,50.69535378
1993,34.9,39.6,46.0,49.3,58.7,58.9,60.2,63.5,59.6,53.5,40.0,39.9,50.3416666667,50.2552341598,50.7072489048
1994,43.6,39.0,46.7,50.9,56.0,58.2,65.1,64.5,61.7,50.5,40.3,39.7,51.35,50.2552341598,50.7191440297
1995,41.6,43.5,45.2,49.1,57.3,60.4,64.9,60.9,62.2,50.8,47.4,40.8,52.0083333333,50.2552341598,50.7310391546
1996,38.7,41.2,45.3,50.4,51.4,58.2,65.1,64.4,57.0,50.1,42.2,37.7,50.1416666667,50.2552341598,50.7429342795
1997,39.8,41.8,44.1,48.6,57.4,58.8,63.2,66.4,61.3,50.9,47.0,40.7,51.6666666667,50.2552341598,50.7548294043
1998,41.0,44.7,46.1,49.3,54.7,59.7,66.7,65.4,61.7,51.7,45.6,39.0,52.1333333333,50.2552341598,50.7667245292
1999,41.3,41.8,43.6,47.6,51.2,57.2,61.5,64.1,58.9,50.4,46.4,41.4,50.45,50.2552341598,50.7786196541
2000,38.7,42.4,43.9,50.3,53.4,59.6,62.9,62.2,58.9,51.3,41.3,39.3,50.35,50.2552341598,50.7905147789
2001,41.0,39.7,44.8,47.5,54.3,56.8,61.6,63.7,59.0,49.8,45.9,39.9,50.3333333333,50.2552341598,50.8024099038
2002,40.4,41.3,40.9,48.0,52.2,60.4,63.7,63.7,59.1,50.1,46.4,42.0,50.6833333333,50.2552341598,50.8143050287
2003,44.4,41.3,46.0,48.5,54.0,61.5,65.9,64.9,61.1,53.9,40.9,40.7,51.925,50.2552341598,50.8262001535
2004,39.6,43.3,47.2,52.3,56.1,61.7,66.5,66.5,58.0,52.3,44.2,41.8,52.4583333333,50.2552341598,50.8380952784
2005,41.0,41.4,48.1,50.2,57.6,58.8,64.1,65.3,57.6,53.0,42.3,40.1,51.625,50.2552341598,50.8499904033
2006,43.5,40.2,44.4,49.1,54.9,61.0,65.2,63.3,60.0,50.7,43.3,40.2,51.3166666667,50.2552341598,50.8618855282
2007,37.5,43.0,46.3,48.8,54.3,58.2,65.3,63.0,57.9,49.6,42.7,38.9,50.4583333333,50.2552341598,50.873780653
2008,37.4,42.2,42.2,44.8,54.5,56.4,62.6,63.9,58.8,50.0,47.4,35.6,49.65,50.2552341598,50.8856757779
2009,38.0,40.2,40.9,47.8,54.2,61.4,67.0,63.9,60.7,50.3,45.1,35.7,50.4333333333,50.2552341598,50.8975709028
2010,44.9,45.0,46.0,48.4,51.9,57.1,63.0,63.5,59.6,51.9,41.9,41.3,51.2083333333,50.2552341598,50.9094660276
2011,40.2,38.1,44.0,44.5,51.1,57.4,61.4,63.6,61.8,50.8,41.4,38.3,49.3833333333,50.2552341598,50.9213611525
2012,38.6,41.9,42.0,49.4,53.4,56.2,62.6,65.1,60.0,51.4,45.1,39.9,50.4666666667,50.2552341598,50.9332562774
2013,37.2,42.3,45.2,48.4,55.8,60.9,64.9,66.0,60.6,49.4,43.7,36.7,50.925,50.2552341598,50.9451514022
2014,41.1,38.3,46.0,50.0,57.3,59.7,66.3,66.9,62.0,56.0,43.6,42.3,52.4583333333,50.2552341598,50.9570465271
2015,43.5,47.0,49.0,49.4,57.3,64.5,67.9,66.1,58.1,55.0,42.0,40.8,53.3833333333,50.2552341598,50.968941652
